Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.447144,30.478571,30.080000,30.104286,20.379293,88102700
2010-01-04,30.490000,30.642857,30.340000,30.572857,20.696495,123432400
2010-01-05,30.657143,30.798571,30.464285,30.625713,20.732277,150476200
2010-01-06,30.625713,30.747143,30.107143,30.138571,20.402506,138040000
2010-01-07,30.250000,30.285715,29.864286,30.082857,20.364788,119282800
2010-01-08,30.042856,30.285715,29.865715,30.282858,20.500175,111902700
2010-01-11,30.400000,30.428572,29.778572,30.015715,20.319336,115557400
2010-01-12,29.884285,29.967142,29.488571,29.674286,20.088205,148614900
2010-01-13,29.695715,30.132856,29.157143,30.092857,20.371557,151473000
2010-01-14,30.015715,30.065714,29.860001,29.918571,20.253571,108223500
2010-01-15,30.132856,30.228571,29.410000,29.418571,19.915094,148516900
2010-01-19,29.761429,30.741428,29.605715,30.719999,20.796108,182501900
2010-01-20,30.701429,30.792856,29.928572,30.247143,20.476000,153038200
2010-01-21,30.297142,30.472857,29.601429,29.724285,20.122049,152038600
2010-01-22,29.540001,29.642857,28.165714,28.250000,19.124027,220441900
2010-01-25,28.930000,29.242857,28.598572,29.010000,19.638508,266424900
2010-01-26,29.421429,30.530001,28.940001,29.420000,19.916061,466777500
2010-01-27,29.549999,30.082857,28.504286,29.697144,20.103678,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469999,19.272955,293375600
2010-01-29,28.725714,28.885714,27.178572,27.437143,18.573751,311488100
2010-02-01,27.481428,28.000000,27.328571,27.818571,18.831963,187469100
2010-02-02,27.987143,28.045713,27.625713,27.980000,18.941242,174585600
2010-02-03,27.881428,28.600000,27.774286,28.461428,19.267153,153832000
2010-02-04,28.104286,28.338572,27.367144,27.435715,18.572784,189413000
2010-02-05,27.518572,28.000000,27.264286,27.922857,18.902561,212576700
2010-02-08,27.955715,28.268572,27.714285,27.731428,18.772972,119567700
2010-02-09,28.059999,28.214285,27.821428,28.027143,18.973154,158221700
2010-02-10,27.984285,28.085714,27.751429,27.874287,18.869682,92590400
2010-02-11,27.840000,28.535715,27.722857,28.381428,19.212992,137586400
2010-02-12,28.301428,28.805714,27.928572,28.625713,19.378365,163867200
2010-02-16,28.848572,29.098572,28.788572,29.057142,19.670424,135934400
2010-02-17,29.170000,29.187143,28.694286,28.935715,19.588219,109099200
2010-02-18,28.804285,29.127142,28.702858,28.990000,19.624969,105706300
2010-02-19,28.837143,29.028572,28.730000,28.809999,19.503117,103867400
2010-02-22,28.905714,28.928572,28.455715,28.631428,19.382235,97640900
2010-02-23,28.571428,28.761429,27.958570,28.151428,19.057293,143773700
2010-02-24,28.318571,28.777143,28.262857,28.665714,19.405443,115141600
2010-02-25,28.197144,28.980000,28.127142,28.857143,19.535028,166281500
2010-02-26,28.911428,29.309999,28.857143,29.231428,19.788406,126865200
2010-03-01,29.392857,29.928572,29.350000,29.855715,20.211016,137523400
2010-03-02,29.990000,30.118572,29.677143,29.835714,20.197483,141636600
2010-03-03,29.848572,29.981428,29.705715,29.904285,20.243898,93013200
2010-03-04,29.897142,30.131428,29.804285,30.101429,20.377359,91510300
2010-03-05,30.705715,31.385714,30.661428,31.278572,21.174236,224905100
2010-03-08,31.430000,31.441429,31.178572,31.297142,21.186804,107472400
2010-03-09,31.187143,32.142857,31.127142,31.860001,21.567839,230064800
2010-03-10,31.975714,32.211430,31.885714,32.119999,21.743841,149054500
2010-03-11,31.987143,32.214287,31.902857,32.214287,21.807673,101425100
2010-03-12,32.481430,32.532856,32.250000,32.371429,21.914049,104080900
2010-03-15,32.197144,32.214287,31.464285,31.977142,21.647135,123375700
2010-03-16,32.025715,32.139999,31.787144,32.064285,21.706129,111727000
2010-03-17,32.128571,32.349998,31.895714,32.017143,21.674215,112739200
2010-03-18,32.014286,32.142857,31.801428,32.092857,21.725468,85527400
2010-03-19,32.112858,32.177143,31.604286,31.750000,21.493372,139861400
